disease,table
equine arteritis,outbreak_animal
equine infectious anaemia,outbreak_animal
highly pathogenic avian influenza,outbreak_animal
brucella melitensis,outbreak_animal
white spot syndrome,outbreak_animal
koi herpes,outbreak_animal
paenibacillus larvae,outbreak_animal
equine encephalomyelitis,outbreak_animal
african horse sickness,outbreak_animal
aujeszky's disease,outbreak_animal
varroa spp.,outbreak_animal
epizootic hemorrhagic disease,outbreak_animal
aethina tumida,outbreak_animal
ovine epididymitis,outbreak_animal
low pathogenic avian influenza,outbreak_animal
mycoplasma mycoides subsp. mycoides sc,outbreak_animal
brucella abortus,outbreak_animal
burkholderia mallei,outbreak_animal
bonamia ostreae,outbreak_animal
brucella suis,outbreak_animal
ostreid herpes-1 microvariant,outbreak_animal
trichinella spp.,outbreak_animal
equine encephalitis,outbreak_animal
influenza a,outbreak_animal
new world screwworm,outbreak_animal
melissococcus plutonius,outbreak_animal
aphanomyces astaci,outbreak_animal
marteilia refringens,outbreak_animal
acarapis woodi,outbreak_animal
batrachochytrium dendrobatidis,outbreak_animal
bonamia exitiosa,outbreak_animal
aphanomyces invadans,outbreak_animal
rana,outbreak_animal
xenohaliotis californiensis,outbreak_animal
leishmaniosis,outbreak_animal
perkinsus olseni,outbreak_animal
hendra es,outbreak_animal
schmallenberg,outbreak_animal
chlamydia abortus,outbreak_animal
old world screwworm,outbreak_animal
red sea bream irido,outbreak_animal
middle east respiratory syndrome corona,outbreak_animal
mikrocytos mimicus n. sp.,outbreak_animal
porcine epidemic diarrhoea,outbreak_animal
new disease in rainbow trout,outbreak_animal
gyrodactylus salaris,outbreak_animal
equid herpes-1,outbreak_animal
avian mycoplasmosis,outbreak_animal
duck  hepatitis,outbreak_animal
hepatobacter penaei,outbreak_animal
pox es,outbreak_animal
surra,outbreak_animal
highly pathogenic influenza a es,outbreak_animal
pigeon rota,outbreak_animal
tilapia lake  disease,outbreak_animal
macrobrachium rosenbergii noda,outbreak_animal
infectious myonecrosis,outbreak_animal
mycobacterium tuberculosis complex,outbreak_animal
infectious bursal disease,outbreak_animal
sars-cov-2 in animals,outbreak_animal
ehrlichia canis,outbreak_animal
decapod iridescent  1 infection,outbreak_animal
infectious spleen and kidney necrosis,outbreak_animal
