country_code,yr,country
BWA,2018,Botswana
CAF,2018,Central African Republic
CMR,2007,Cameroon
CMR,2017,Cameroon
CMR,2018,Cameroon
COD,2018,Congo (Dem. Rep. of the)
COM,2005,Comoros
COM,2006,Comoros
COM,2007,Comoros
COM,2012,Comoros
COM,2013,Comoros
COM,2014,Comoros
COM,2017,Comoros
COM,2018,Comoros
ETH,2018,Ethiopia
GIN,2018,Guinea
GNQ,2005,Equatorial Guinea
GNQ,2006,Equatorial Guinea
GNQ,2007,Equatorial Guinea
GNQ,2008,Equatorial Guinea
GNQ,2014,Equatorial Guinea
GNQ,2015,Equatorial Guinea
GNQ,2016,Equatorial Guinea
GNQ,2017,Equatorial Guinea
GNQ,2018,Equatorial Guinea
KEN,2018,Kenya
MDG,2018,Madagascar
MLI,2018,Mali
MOZ,2018,Mozambique
MRT,2014,Mauritania
MRT,2015,Mauritania
MRT,2016,Mauritania
MRT,2017,Mauritania
MRT,2018,Mauritania
MWI,2017,Malawi
MWI,2018,Malawi
MYT,2005,Mayotte (France)
MYT,2006,Mayotte (France)
MYT,2007,Mayotte (France)
MYT,2008,Mayotte (France)
MYT,2009,Mayotte (France)
MYT,2010,Mayotte (France)
MYT,2011,Mayotte (France)
MYT,2012,Mayotte (France)
MYT,2013,Mayotte (France)
MYT,2014,Mayotte (France)
MYT,2015,Mayotte (France)
MYT,2018,Mayotte (France)
NAM,2018,Namibia
NER,2018,Niger
NGA,2018,Nigeria
RWA,2005,Rwanda
RWA,2017,Rwanda
RWA,2018,Rwanda
SAU,2018,Saudi Arabia
SDN,2018,Sudan
SEN,2018,Senegal
SSD,2005,South Sudan
SSD,2006,South Sudan
SSD,2007,South Sudan
SSD,2008,South Sudan
SSD,2009,South Sudan
SSD,2010,South Sudan
SSD,2011,South Sudan
SSD,2012,South Sudan
SSD,2013,South Sudan
SSD,2014,South Sudan
SSD,2015,South Sudan
SSD,2018,South Sudan
SWZ,2018,Swaziland
TZA,2018,Tanzania
UGA,2018,Uganda
YEM,2017,Yemen
YEM,2018,Yemen
ZAF,2018,South Africa
ZWE,2006,Zimbabwe
ZWE,2008,Zimbabwe
ZWE,2018,Zimbabwe
